date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:27:51	177906/177906	---M--	200	added ('OK')	image/gif	date:Wed,%2013%20Sep%202017%2012:01:47%20GMT	http://ethicsfordesign.com/content/5-player/get-started.gif	C:/Mes%20Sites%20Web/rush/ethicsfordesign.com/content/5-player/get-started.gif	(from http://ethicsfordesign.com/fr/lecteur?lang=en)
16:27:51	336241/336241	---M-Z	200	added ('OK')	text/css	date:Mon,%2011%20Sep%202017%2016:05:18%20GMT	http://ethicsfordesign.com/_analytics/index.php?module=Proxy&action=getCss&cb=471a66faebb46496af941a50a6679102	C:/Mes%20Sites%20Web/rush/ethicsfordesign.com/_analytics/asset_manager_global_css9e01.css	(from http://ethicsfordesign.com/_analytics/)
16:27:53	60/60	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2007%20Oct%202017%2014:27:51%20GMT	http://ethicsfordesign.com/_analytics/index.php?module=Proxy&action=getNonCoreJs&cb=c3b3bd4089d137129d7d31011b8983f3	C:/Mes%20Sites%20Web/rush/ethicsfordesign.com/_analytics/asset_manager_non_core_js8a9f.js	(from http://ethicsfordesign.com/_analytics/)
16:27:54	950/950	---M-Z	200	added ('OK')	application/json	date:Mon,%2011%20Sep%202017%2015:47:36%20GMT	http://ethicsfordesign.com/_analytics/plugins/CoreHome/javascripts/manifest.json	C:/Mes%20Sites%20Web/rush/ethicsfordesign.com/_analytics/plugins/CoreHome/javascripts/manifest.json	(from http://ethicsfordesign.com/_analytics/)
16:27:54	5453/5453	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2011%20Sep%202017%2015:46:48%20GMT	http://ethicsfordesign.com/_analytics/libs/bower_components/jquery-placeholder/jquery.placeholder.js?cb=c3b3bd4089d137129d7d31011b8983f3	C:/Mes%20Sites%20Web/rush/ethicsfordesign.com/_analytics/libs/bower_components/jquery-placeholder/jquery.placeholder7ee8.js	(from http://ethicsfordesign.com/_analytics/)
16:27:54	2290/2290	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2011%20Sep%202017%2015:49:55%20GMT	http://ethicsfordesign.com/_analytics/plugins/Morpheus/images/logo.svg	C:/Mes%20Sites%20Web/rush/ethicsfordesign.com/_analytics/plugins/Morpheus/images/logo.svg	(from http://ethicsfordesign.com/_analytics/)
16:27:55	723/723	---M--	200	added ('OK')	image/gif	date:Mon,%2011%20Sep%202017%2015:49:55%20GMT	http://ethicsfordesign.com/_analytics/plugins/Morpheus/images/loading-blue.gif	C:/Mes%20Sites%20Web/rush/ethicsfordesign.com/_analytics/plugins/Morpheus/images/loading-blue.gif	(from http://ethicsfordesign.com/_analytics/)
16:27:55	39112/39112	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202017%2014:27:52%20GMT	http://ethicsfordesign.com/watch	C:/Mes%20Sites%20Web/rush/ethicsfordesign.com/watch.html	(from http://ethicsfordesign.com/player?lang=en)
16:27:55	0/-1	---M--	302	error ('')			http://ethicsfordesign.com/content/5-player/ethics-for-design-mainvid.ogv	C:/Mes%20Sites%20Web/rush/ethicsfordesign.com/content/5-player/ethics-for-design-mainvid.3c.delayed	(from http://ethicsfordesign.com/player?lang=en)
16:27:55	0/-1	---M--	302	error ('')			http://ethicsfordesign.com/content/5-player/ethics-for-design-mainvid.ogv	C:/Mes%20Sites%20Web/rush/ethicsfordesign.com/content/5-player/ethics-for-design-mainvid.3d.delayed	(from http://ethicsfordesign.com/player?lang=fr)
16:27:55	0/-1	---M--	302	error ('')			http://ethicsfordesign.com/content/5-player/ethics-for-design-mainvid.ogv	C:/Mes%20Sites%20Web/rush/ethicsfordesign.com/content/5-player/ethics-for-design-mainvid.3e.delayed	(from http://ethicsfordesign.com/player)
16:28:52	1716220/1716220	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2007%20Oct%202017%2014:27:50%20GMT	http://ethicsfordesign.com/_analytics/index.php?module=Proxy&action=getCoreJs&cb=c3b3bd4089d137129d7d31011b8983f3	C:/Mes%20Sites%20Web/rush/ethicsfordesign.com/_analytics/asset_manager_core_js42f7.js	(from http://ethicsfordesign.com/_analytics/)
